time,crd,vel,ekin,epot,etotal,coff_0,coff_1,prob,random,state
124.000,-3.20206920,0.01449806,0.21019379,-0.00993904,0.20025475,1.00000000,0.00000000,0.00000000,0.02878258,0
125.000,-3.18757117,0.01449801,0.21019239,-0.00993761,0.20025478,1.00000000,0.00000000,0.00000000,0.00309174,0
126.000,-3.17307318,0.01449796,0.21019096,-0.00993614,0.20025482,1.00000000,0.00000000,0.00000000,0.04465987,0
127.000,-3.15857524,0.01449791,0.21018950,-0.00993465,0.20025485,1.00000000,0.00000000,0.00000000,0.29050719,0
128.000,-3.14407735,0.01449786,0.21018800,-0.00993311,0.20025489,1.00000000,0.00000000,0.00000000,0.78999652,0
129.000,-3.12957951,0.01449781,0.21018646,-0.00993154,0.20025492,1.00000000,0.00000000,0.00000000,0.74099184,0
130.000,-3.11508173,0.01449775,0.21018489,-0.00992994,0.20025496,1.00000000,0.00000000,0.00000000,0.46684415,0
131.000,-3.10058400,0.01449770,0.21018329,-0.00992829,0.20025500,1.00000000,0.00000000,0.00000000,0.98304696,0
132.000,-3.08608633,0.01449764,0.21018164,-0.00992661,0.20025503,1.00000000,0.00000000,0.00000000,0.90247349,0
133.000,-3.07158872,0.01449758,0.21017996,-0.00992489,0.20025507,1.00000000,0.00000000,0.00000000,0.41130938,0
134.000,-3.05709116,0.01449753,0.21017824,-0.00992312,0.20025511,1.00000000,0.00000000,0.00000000,0.36918577,0
135.000,-3.04259367,0.01449746,0.21017648,-0.00992132,0.20025516,1.00000000,0.00000000,0.00000000,0.36016962,0
136.000,-3.02809623,0.01449740,0.21017467,-0.00991947,0.20025520,1.00000000,0.00000000,0.00000000,0.11064875,0
137.000,-3.01359886,0.01449734,0.21017283,-0.00991758,0.20025524,1.00000000,0.00000000,0.00000000,0.71032334,0
138.000,-2.99910156,0.01449727,0.21017094,-0.00991565,0.20025529,1.00000000,0.00000000,0.00000000,0.38149381,0
139.000,-2.98460432,0.01449721,0.21016900,-0.00991367,0.20025533,1.00000000,0.00000000,0.00000000,0.52572530,0
140.000,-2.97010714,0.01449714,0.21016702,-0.00991164,0.20025538,1.00000000,0.00000000,0.00000000,0.39357310,0
141.000,-2.95561004,0.01449707,0.21016500,-0.00990957,0.20025542,1.00000000,0.00000000,0.00000000,0.72902942,0
142.000,-2.94111301,0.01449700,0.21016292,-0.00990745,0.20025547,1.00000000,0.00000000,0.00000000,0.91191149,0
143.000,-2.92661605,0.01449692,0.21016080,-0.00990528,0.20025552,1.00000000,0.00000000,0.00000000,0.27285797,0
