time,crd,vel,ekin,ene_0,ene_1,epot,etotal,coff_0,coff_1,prob,random,state
142.000,-2.94111301,0.01449700,0.21016292,-0.00990745,0.00990745,-0.00990745,0.20025547,1.00000000,0.00000000,0.00000000,0.04162403,0
143.000,-2.92661605,0.01449692,0.21016080,-0.00990528,0.00990528,-0.00990528,0.20025552,1.00000000,0.00000000,0.00000000,0.18852463,0
144.000,-2.91211916,0.01449685,0.21015863,-0.00990305,0.00990305,-0.00990305,0.20025557,1.00000000,0.00000000,0.00000000,0.34899733,0
145.000,-2.89762235,0.01449677,0.21015641,-0.00990078,0.00990078,-0.00990078,0.20025563,1.00000000,0.00000000,0.00000000,0.66407842,0
146.000,-2.88312562,0.01449669,0.21015413,-0.00989845,0.00989845,-0.00989845,0.20025568,1.00000000,0.00000000,0.00000000,0.87852663,0
147.000,-2.86862896,0.01449661,0.21015180,-0.00989607,0.00989607,-0.00989607,0.20025573,1.00000000,0.00000000,0.00000000,0.40271070,0
148.000,-2.85413239,0.01449653,0.21014942,-0.00989363,0.00989363,-0.00989363,0.20025579,1.00000000,0.00000000,0.00000000,0.92648706,0
149.000,-2.83963590,0.01449645,0.21014698,-0.00989113,0.00989113,-0.00989113,0.20025585,0.99999999,0.00000001,0.00000000,0.48827099,0
150.000,-2.82513949,0.01449636,0.21014448,-0.00988858,0.00988858,-0.00988858,0.20025590,0.99999999,0.00000001,0.00000000,0.95225038,0
151.000,-2.81064318,0.01449627,0.21014193,-0.00988597,0.00988597,-0.00988597,0.20025596,0.99999999,0.00000001,0.00000000,0.03992076,0
152.000,-2.79614695,0.01449618,0.21013931,-0.00988329,0.00988329,-0.00988329,0.20025603,0.99999999,0.00000001,0.00000000,0.19392533,0
153.000,-2.78165081,0.01449609,0.21013664,-0.00988055,0.00988055,-0.00988055,0.20025609,0.99999999,0.00000001,0.00000000,0.86326845,0
154.000,-2.76715477,0.01449600,0.21013390,-0.00987775,0.00987775,-0.00987775,0.20025615,0.99999999,0.00000001,0.00000000,0.72755705,0
155.000,-2.75265882,0.01449590,0.21013110,-0.00987488,0.00987488,-0.00987488,0.20025622,0.99999999,0.00000001,0.00000000,0.95240195,0
156.000,-2.73816297,0.01449580,0.21012823,-0.00987194,0.00987194,-0.00987194,0.20025628,0.99999998,0.00000002,0.00000000,0.61764449,0
157.000,-2.72366722,0.01449570,0.21012529,-0.00986894,0.00986894,-0.00986894,0.20025635,0.99999998,0.00000002,0.00000000,0.61830670,0
158.000,-2.70917157,0.01449560,0.21012229,-0.00986586,0.00986586,-0.00986586,0.20025642,0.99999998,0.00000002,0.00000000,0.69594888,0
159.000,-2.69467603,0.01449549,0.21011921,-0.00986272,0.00986272,-0.00986272,0.20025650,0.99999997,0.00000003,0.00000000,0.87914090,0
160.000,-2.68018059,0.01449538,0.21011607,-0.00985950,0.00985950,-0.00985950,0.20025657,0.99999997,0.00000003,0.00000000,0.42892940,0
161.000,-2.66568527,0.01449527,0.21011284,-0.00985620,0.00985620,-0.00985620,0.20025665,0.99999996,0.00000004,0.00000000,0.36603333,0
162.000,-2.65119005,0.01449516,0.21010955,-0.00985283,0.00985283,-0.00985283,0.20025672,0.99999996,0.00000004,0.00000000,0.24483532,0
163.000,-2.63669495,0.01449504,0.21010617,-0.00984937,0.00984937,-0.00984937,0.20025680,0.99999995,0.00000005,0.00000000,0.74334738,0
164.000,-2.62219997,0.01449492,0.21010272,-0.00984584,0.00984584,-0.00984584,0.20025688,0.99999994,0.00000006,0.00000000,0.67604146,0
165.000,-2.60770511,0.01449480,0.21009919,-0.00984222,0.00984222,-0.00984222,0.20025696,0.99999993,0.00000007,0.00000000,0.07883978,0
166.000,-2.59321038,0.01449467,0.21009557,-0.00983852,0.00983852,-0.00983852,0.20025705,0.99999992,0.00000008,0.00000000,0.07483344,0
167.000,-2.57871576,0.01449455,0.21009187,-0.00983473,0.00983473,-0.00983473,0.20025714,0.99999990,0.00000010,0.00000000,0.74372330,0
168.000,-2.56422128,0.01449442,0.21008808,-0.00983085,0.00983085,-0.00983085,0.20025722,0.99999989,0.00000011,0.00000000,0.94237405,0
169.000,-2.54972693,0.01449428,0.21008420,-0.00982689,0.00982689,-0.00982689,0.20025732,0.99999987,0.00000013,0.00000000,0.34038462,0
170.000,-2.53523272,0.01449414,0.21008023,-0.00982283,0.00982283,-0.00982283,0.20025741,0.99999985,0.00000015,0.00000000,0.25865858,0
171.000,-2.52073864,0.01449400,0.21007617,-0.00981867,0.00981867,-0.00981867,0.20025750,0.99999983,0.00000017,0.00000000,0.94731659,0
172.000,-2.50624471,0.01449386,0.21007202,-0.00981442,0.00981442,-0.00981442,0.20025760,0.99999980,0.00000020,0.00000000,0.08999899,0
173.000,-2.49175092,0.01449371,0.21006776,-0.00981006,0.00981006,-0.00981006,0.20025770,0.99999977,0.00000023,0.00000000,0.09777901,0
174.000,-2.47725728,0.01449356,0.21006341,-0.00980561,0.00980561,-0.00980561,0.20025780,0.99999973,0.00000027,0.00000000,0.54045526,0
175.000,-2.46276379,0.01449341,0.21005895,-0.00980105,0.00980105,-0.00980105,0.20025791,0.99999969,0.00000031,0.00000000,0.17337870,0
176.000,-2.44827046,0.01449325,0.21005439,-0.00979638,0.00979638,-0.00979638,0.20025801,0.99999964,0.00000036,0.00000000,0.98317779,0
177.000,-2.43377729,0.01449309,0.21004973,-0.00979161,0.00979161,-0.00979161,0.20025812,0.99999959,0.00000041,0.00000000,0.37281974,0
178.000,-2.41928428,0.01449293,0.21004495,-0.00978672,0.00978672,-0.00978672,0.20025823,0.99999953,0.00000047,0.00000000,0.38463187,0
179.000,-2.40479143,0.01449276,0.21004006,-0.00978172,0.00978172,-0.00978172,0.20025835,0.99999946,0.00000054,0.00000000,0.80679830,0
180.000,-2.39029876,0.01449259,0.21003506,-0.00977660,0.00977660,-0.00977660,0.20025846,0.99999937,0.00000063,0.00000000,0.98212846,0
181.000,-2.37580626,0.01449241,0.21002994,-0.00977136,0.00977136,-0.00977136,0.20025858,0.99999928,0.00000072,0.00000000,0.70746754,0
182.000,-2.36131394,0.01449223,0.21002470,-0.00976600,0.00976600,-0.00976600,0.20025871,0.99999918,0.00000082,0.00000000,0.68549984,0
